full_index,TSPAN6,TNMD,DPM1,SCYL3,C1orf112
E6_P1_M11-Pre_P1.117,0.0,0.0,0.0,0.0,0.0
E6_P3_M11-Pre_P1.118,0.0,0.0,0.0,0.0,0.0
E6_P4_M11-Pre_P1.119,0.0,0.0,0.0,0.0,0.0
E6_P5_M11-Pre_P1.120,0.0,0.0,0.0,0.0,0.0
E6_P6_M11-Pre_P1.121,0.0,0.0,0.0,0.0,0.0
E7_P1_M11-Pre_P1.122,0.0,0.0,0.0,0.0,0.0
E7_P2_M11-Pre_P1.123,0.0,0.0,0.0,1.38,0.0
E7_P3_M11-Pre_P1.124,0.0,0.0,0.0,0.0,0.0
E7_P5_M11-Pre_P1.125,0.0,0.0,0.0,0.0,0.0
E7_P6_M11-Pre_P1.126,0.0,0.0,0.0,0.0,0.0
E8_P1_M11-Pre_P1.127,0.0,0.0,0.0,0.0,0.0
E8_P2_M11-Pre_P1.128,0.0,0.0,0.0,0.0,0.0
E8_P5_M11-Pre_P1.129,0.0,0.0,0.0,0.0,0.0
E9_P1_M11-Pre_P1.130,0.0,0.0,0.0,0.0,0.0
E9_P3_M11-Pre_P1.131,0.0,0.0,0.0,0.0,0.0
E9_P5_M11-Pre_P1.132,0.0,0.0,0.0,0.0,0.0
F10_P1_M11-Pre_P1.133,0.0,0.0,9.09,0.0,0.0
F10_P2_M11-Pre_P1.134,0.0,0.0,6.7,7.81,0.0
F10_P3_M11-Pre_P1.135,0.0,0.0,0.0,0.0,0.0
F10_P4_M11-Pre_P1.136,0.0,0.0,0.0,0.0,0.0
F10_P5_M11-Pre_P1.137,0.0,0.0,0.0,0.0,0.0
F10_P6_M11-Pre_P1.138,0.0,0.0,0.0,0.0,0.0
F11_P3_M11-Pre_P1.139,0.0,0.0,0.0,0.0,0.0
F11_P6_M11-Pre_P1.140,0.0,0.0,0.0,0.0,0.0
F12_P6_M11-Pre_P1.141,0.0,0.0,0.0,0.0,0.0
F2_P1_M11-Pre_P1.142,0.0,0.0,0.0,0.0,0.0
F3_P1_M11-Pre_P1.143,0.0,0.0,7.27,0.0,0.0
F3_P4_M11-Pre_P1.144,0.0,0.0,7.99,0.0,0.0
F3_P5_M11-Pre_P1.145,0.0,0.0,0.0,0.0,0.0
F4_P1_M11-Pre_P1.146,0.0,0.0,0.0,0.0,0.0
F4_P3_M11-Pre_P1.147,0.0,0.0,0.0,0.0,0.0
F4_P5_M11-Pre_P1.148,0.0,0.0,7.0,0.0,0.0
F4_P6_M11-Pre_P1.149,0.0,0.0,8.32,0.0,0.0
F5_P1_M11-Pre_P1.150,0.0,0.0,0.0,0.0,0.0
F5_P5_M11-Pre_P1.151,0.0,0.0,0.0,0.0,0.0
F6_P1_M11-Pre_P1.152,0.0,0.0,0.0,0.0,0.0
F6_P2_M11-Pre_P1.153,0.0,0.0,0.0,0.0,0.0
F6_P4_M11-Pre_P1.154,0.0,0.0,0.0,0.0,0.0
F6_P5_M11-Pre_P1.155,0.0,0.0,0.0,0.0,0.0
F7_P1_M11-Pre_P1.156,0.0,0.0,0.0,0.0,0.0
F7_P2_M11-Pre_P1.157,0.0,0.0,0.0,0.0,0.0
F7_P3_M11-Pre_P1.158,0.0,0.0,0.0,0.0,0.0
F8_P1_M11-Pre_P1.159,0.0,0.0,8.51,0.0,3.72
F8_P2_M11-Pre_P1.160,0.0,0.0,0.0,0.0,0.0
F8_P3_M11-Pre_P1.161,0.0,0.0,0.0,0.0,0.0
F8_P4_M11-Pre_P1.162,0.0,0.0,8.37,0.0,0.0
F8_P5_M11-Pre_P1.163,0.0,0.0,9.52,0.0,0.0
F9_P1_M11-Pre_P1.164,0.0,0.0,8.29,0.0,0.0
F9_P4_M11-Pre_P1.165,0.0,0.0,0.0,0.0,0.0
F9_P6_M11-Pre_P1.166,0.0,0.0,0.0,0.0,0.0
G10_P3_M11-Pre_P1.167,0.0,0.0,0.0,0.0,0.0
G10_P5_M11-Pre_P1.168,0.0,0.0,0.0,0.0,0.0
G10_P6_M11-Pre_P1.169,0.0,0.0,7.98,4.84,0.0
G11_P3_M11-Pre_P1.170,0.0,0.0,0.0,0.0,0.0
G11_P6_M11-Pre_P1.171,0.0,0.0,8.16,0.0,0.0
G12_P3_M11-Pre_P1.172,0.0,0.0,9.37,0.0,0.0
G12_P4_M11-Pre_P1.173,0.0,0.0,0.0,0.0,0.0
G12_P5_M11-Pre_P1.174,0.0,0.0,0.0,0.0,0.0
G12_P6_M11-Pre_P1.175,0.0,0.0,8.6,0.0,0.0
G1_P1_M11-Pre_P1.176,0.0,0.0,0.0,0.0,0.0
G1_P2_M11-Pre_P1.177,0.0,0.0,0.0,0.0,0.0
G1_P3_M11-Pre_P1.178,0.0,0.0,0.0,0.0,0.0
G1_P4_M11-Pre_P1.179,0.0,0.0,0.0,0.0,0.0
G2_P1_M11-Pre_P1.180,0.0,0.0,8.11,0.0,0.0
G2_P3_M11-Pre_P1.181,0.0,0.0,0.0,0.0,0.0
G2_P5_M11-Pre_P1.182,0.0,0.0,0.0,0.0,0.0
G2_P6_M11-Pre_P1.183,0.0,0.0,2.67,0.0,0.0
G3_P3_M11-Pre_P1.184,0.0,0.0,0.0,0.0,0.0
G3_P4_M11-Pre_P1.185,0.0,0.0,0.0,5.98,0.0
G3_P6_M11-Pre_P1.186,0.0,0.0,0.0,0.0,0.0
G4_P3_M11-Pre_P1.187,0.0,0.0,0.0,0.0,0.0
G4_P4_M11-Pre_P1.188,0.0,0.0,0.0,0.0,0.0
G4_P6_M11-Pre_P1.189,0.0,0.0,0.0,0.0,0.0
G5_P4_M11-Pre_P1.190,0.0,0.0,0.0,0.0,4.06
G5_P6_M11-Pre_P1.191,0.0,0.0,0.0,0.0,0.0
G6_P1_M11-Pre_P1.192,0.0,0.0,0.0,0.0,0.0
G6_P2_M11-Pre_P1.193,0.0,0.0,8.01,0.0,0.0
G6_P3_M11-Pre_P1.194,0.0,0.0,0.0,0.0,0.0
G6_P4_M11-Pre_P1.195,0.0,0.0,6.87,0.0,0.0
G6_P6_M11-Pre_P1.196,0.0,0.0,0.0,0.0,0.0
G7_P2_M11-Pre_P1.197,0.0,0.0,2.71,0.0,0.0
G7_P4_M11-Pre_P1.198,0.0,0.0,0.0,0.0,0.0
G7_P6_M11-Pre_P1.199,0.0,0.0,0.0,0.0,0.0
G8_P2_M11-Pre_P1.200,0.0,0.0,0.0,0.0,0.0
G8_P3_M11-Pre_P1.201,0.0,0.0,0.0,0.0,0.0
G8_P6_M11-Pre_P1.202,0.0,0.0,2.59,0.0,0.0
G9_P1_M11-Pre_P1.203,0.0,0.0,0.0,0.0,0.0
G9_P3_M11-Pre_P1.204,0.0,0.0,0.0,0.0,0.0
G9_P6_M11-Pre_P1.205,0.0,0.0,8.1,0.0,0.0
H12_P3_M11-Pre_P1.206,0.0,0.0,9.01,0.0,0.0
H1_P1_M11-Pre_P1.207,0.0,0.0,8.76,0.0,0.0
H1_P4_M11-Pre_P1.208,0.0,0.0,0.0,0.0,0.0
H2_P4_M11-Pre_P1.209,0.0,0.0,0.0,0.0,0.0
H3_P1_M11-Pre_P1.210,0.0,0.0,0.0,0.0,0.0
H3_P2_M11-Pre_P1.211,0.0,0.0,0.0,0.0,0.0
H3_P4_M11-Pre_P1.212,0.0,0.0,0.0,0.0,0.0
H3_P5_M11-Pre_P1.213,0.0,0.0,7.64,0.0,0.0
H3_P6_M11-Pre_P1.214,0.0,0.0,0.0,0.0,0.0
H4_P2_M11-Pre_P1.215,0.0,0.0,0.0,0.0,0.0
H4_P5_M11-Pre_P1.216,0.0,0.0,0.0,0.0,0.0
H4_P6_M11-Pre_P1.217,0.0,0.0,7.85,0.0,0.0
H6_P3_M11-Pre_P1.218,0.0,0.0,0.0,0.0,0.0
H6_P4_M11-Pre_P1.219,0.0,0.0,0.0,0.0,0.0
H7_P3_M11-Pre_P1.220,0.0,0.0,9.85,0.0,0.0
H7_P4_M11-Pre_P1.221,0.0,0.0,0.0,0.0,0.0
H8_P1_M11-Pre_P1.222,0.0,0.0,0.0,0.0,0.0
H8_P5_M11-Pre_P1.223,0.0,0.0,3.51,0.0,0.0
H9_P1_M11-Pre_P1.224,0.0,0.0,0.0,0.0,0.0
H9_P3_M11-Pre_P1.225,0.0,0.0,6.75,0.0,0.0
H9_P4_M11-Pre_P1.226,0.0,0.0,7.72,0.0,0.0
H9_P5_M11-Pre_P1.227,0.0,0.0,7.25,6.82,7.26
H9_P6_M11-Pre_P1.228,0.0,0.0,8.41,0.0,0.0
A10_P1_M15-Post_P1,0.0,0.0,7.76,0.0,0.0
A10_P4_M15-Post_P1.1,0.0,0.0,8.45,0.0,0.0
A10_P5_M15-Post_P1.2,0.0,0.0,0.0,0.0,0.0
A10_P6_M15-Post_P1.3,0.0,0.0,0.0,0.0,3.18
A11_P1_M15-Post_P1.4,0.0,0.0,0.0,0.0,0.0
A11_P2_M15-Post_P1.5,0.0,0.0,0.0,0.0,0.0
A11_P5_M15-Post_P1.6,0.0,0.0,8.79,0.0,0.0
A11_P6_M15-Post_P1.7,0.0,0.0,0.0,0.0,0.0
A12_P1_M15-Post_P1.8,0.0,0.0,8.41,0.0,0.0
A12_P2_M15-Post_P1.9,0.0,0.0,6.86,0.0,0.0
A12_P5_M15-Post_P1.10,0.0,0.0,0.0,0.0,0.0
A2_P1_M15-Post_P1.11,0.0,0.0,0.0,0.0,0.0
A2_P2_M15-Post_P1.12,0.0,0.0,5.08,5.02,0.0
A2_P3_M15-Post_P1.13,0.0,0.0,0.0,0.0,0.0
A2_P6_M15-Post_P1.14,0.0,0.0,0.0,0.0,0.0
A3_P2_M15-Post_P1.15,0.0,0.0,0.0,0.0,0.0
A3_P6_M15-Post_P1.16,0.0,0.0,7.79,0.0,5.81
A4_P1_M15-Post_P1.17,0.0,0.0,0.0,2.5,6.95
A4_P3_M15-Post_P1.18,0.0,0.0,5.09,0.0,0.0
A4_P4_M15-Post_P1.19,0.0,0.0,0.0,0.0,0.0
A4_P5_M15-Post_P1.20,0.0,0.0,0.0,0.0,0.0
A4_P6_M15-Post_P1.21,0.0,0.0,0.0,4.92,0.0
A5_P1_M15-Post_P1.22,0.0,0.0,0.0,6.99,0.0
A5_P5_M15-Post_P1.23,0.0,0.0,7.69,0.0,0.0
A5_P6_M15-Post_P1.24,0.0,0.0,0.0,0.0,0.0
A6_P1_M15-Post_P1.25,0.0,0.0,0.0,4.92,0.0
A6_P2_M15-Post_P1.26,0.0,0.0,0.0,0.0,0.0
A7_P1_M15-Post_P1.27,0.0,0.0,7.81,0.0,0.0
A7_P2_M15-Post_P1.28,0.0,0.0,0.0,0.0,0.0
A8_P1_M15-Post_P1.29,0.0,0.0,8.36,0.0,0.0
A8_P2_M15-Post_P1.30,0.0,0.0,0.0,0.0,0.0
A9_P1_M15-Post_P1.31,0.0,0.0,0.0,0.0,0.0
B10_P1_M15-Post_P1.32,0.0,0.0,0.0,0.0,0.0
B10_P2_M15-Post_P1.33,0.0,0.0,0.0,0.0,0.0
B10_P4_M15-Post_P1.34,0.0,0.0,0.0,8.91,0.0
B10_P5_M15-Post_P1.35,0.0,0.0,0.0,0.0,0.0
B11_P1_M15-Post_P1.36,0.0,0.0,7.9,0.0,0.0
B11_P2_M15-Post_P1.37,0.0,0.0,0.0,0.0,0.0
B11_P6_M15-Post_P1.38,0.0,0.0,0.0,0.0,0.0
B12_P1_M15-Post_P1.39,0.0,0.0,0.0,6.62,8.83
B12_P2_M15-Post_P1.40,0.0,0.0,0.0,0.0,0.0
B12_P5_M15-Post_P1.41,0.0,0.0,0.0,0.0,0.0
B1_P1_M15-Post_P1.42,0.0,0.0,0.0,0.0,0.0
B1_P2_M15-Post_P1.43,0.0,0.0,8.99,0.0,0.0
B1_P4_M15-Post_P1.44,0.0,0.0,0.0,0.0,0.0
B2_P1_M15-Post_P1.45,0.0,0.0,8.31,0.0,0.0
B2_P2_M15-Post_P1.46,0.0,0.0,0.0,0.0,0.0
B2_P6_M15-Post_P1.47,0.0,0.0,8.31,0.0,0.0
B3_P1_M15-Post_P1.48,0.0,0.0,0.0,0.0,0.0
B3_P2_M15-Post_P1.49,0.0,0.0,7.35,0.71,1.05
B3_P3_M15-Post_P1.50,0.0,0.0,0.0,0.0,0.0
B3_P5_M15-Post_P1.51,0.0,0.0,0.0,0.0,0.0
B3_P6_M15-Post_P1.52,0.0,0.0,0.0,0.0,0.0
B4_P2_M15-Post_P1.53,0.0,0.0,8.95,0.0,0.0
B4_P3_M15-Post_P1.54,0.0,0.0,8.35,0.0,0.0
B5_P1_M15-Post_P1.55,0.0,0.0,7.69,0.0,0.0
B5_P5_M15-Post_P1.56,0.0,0.0,8.36,0.0,0.0
B6_P1_M15-Post_P1.57,0.0,0.0,0.0,0.0,0.0
B6_P6_M15-Post_P1.58,0.0,0.0,0.0,2.76,0.0
B7_P1_M15-Post_P1.59,0.0,0.0,0.0,0.0,0.0
B7_P6_M15-Post_P1.60,0.0,0.0,7.95,0.0,0.0
B8_P2_M15-Post_P1.61,0.0,0.0,0.0,0.0,0.0
B9_P2_M15-Post_P1.62,0.0,0.0,0.0,0.0,0.0
B9_P6_M15-Post_P1.63,0.0,0.0,7.91,0.0,4.65
C10_P2_M15-Post_P1.64,0.0,0.0,0.0,0.0,0.0
C10_P4_M15-Post_P1.65,0.0,0.0,0.0,0.0,0.0
C11_P1_M15-Post_P1.66,0.0,0.0,0.0,0.0,0.0
C11_P2_M15-Post_P1.67,0.0,0.0,0.0,0.0,0.0
C11_P3_M15-Post_P1.68,0.0,0.0,0.0,0.0,0.0
C11_P5_M15-Post_P1.69,0.0,0.0,0.0,0.0,0.0
C11_P6_M15-Post_P1.70,0.0,0.0,0.0,0.0,0.0
C12_P1_M15-Post_P1.71,0.0,0.0,9.18,0.0,0.0
C12_P2_M15-Post_P1.72,0.0,0.0,8.95,0.0,0.0
C12_P5_M15-Post_P1.73,0.0,0.0,0.0,0.0,0.0
C12_P6_M15-Post_P1.74,0.0,0.0,0.0,0.0,0.0
C1_P1_M15-Post_P1.75,0.0,0.0,0.0,0.0,0.0
C1_P2_M15-Post_P1.76,0.0,0.0,9.45,0.0,0.0
C1_P6_M15-Post_P1.77,0.0,0.0,0.0,0.0,0.0
C2_P1_M15-Post_P1.78,0.0,0.0,8.48,0.0,0.0
C2_P2_M15-Post_P1.79,0.0,0.0,0.0,0.0,0.0
C2_P3_M15-Post_P1.80,0.0,0.0,0.0,0.0,0.0
C2_P6_M15-Post_P1.81,0.0,0.0,0.0,0.0,0.0
C3_P2_M15-Post_P1.82,0.0,0.0,0.0,0.0,0.0
C3_P6_M15-Post_P1.83,0.0,0.0,0.0,0.0,0.0
C4_P1_M15-Post_P1.84,0.0,0.0,6.2,0.0,0.0
C4_P2_M15-Post_P1.85,0.0,0.0,7.34,0.0,0.0
C4_P3_M15-Post_P1.86,0.0,0.0,0.0,0.0,0.0
C4_P6_M15-Post_P1.87,0.0,0.0,0.0,0.0,0.0
C5_P1_M15-Post_P1.88,0.0,0.0,0.0,0.0,0.0
C5_P2_M15-Post_P1.89,0.0,0.0,0.0,0.0,10.07
C5_P5_M15-Post_P1.90,0.0,0.0,0.0,0.0,0.0
C5_P6_M15-Post_P1.91,0.0,0.0,0.0,0.0,0.0
C6_P1_M15-Post_P1.92,0.0,0.0,0.0,0.0,0.0
C6_P2_M15-Post_P1.93,0.0,0.0,0.0,0.0,0.0
